   s  energy(a.u.)
  -2.969   -611.949581563  
  -2.969   -611.949581563  
  -2.939   -611.949578540  
  -2.909   -611.949569539  
  -2.879   -611.949554518  
  -2.849   -611.949533433  
  -2.819   -611.949506235  
  -2.789   -611.949472874  
  -2.759   -611.949433300  
  -2.729   -611.949387458  
  -2.699   -611.949335296  
  -2.669   -611.949276760  
  -2.639   -611.949211796  
  -2.609   -611.949140349  
  -2.579   -611.949062365  
  -2.549   -611.948977790  
  -2.519   -611.948886570  
  -2.489   -611.948788653  
  -2.459   -611.948683984  
  -2.429   -611.948572512  
  -2.399   -611.948454185  
  -2.369   -611.948328951  
  -2.339   -611.948196760  
  -2.309   -611.948057560  
  -2.279   -611.947911303  
  -2.249   -611.947757939  
  -2.219   -611.947597418  
  -2.189   -611.947429693  
  -2.159   -611.947254713  
  -2.129   -611.947072430  
  -2.099   -611.946882794  
  -2.069   -611.946685752  
  -2.039   -611.946481251  
  -2.009   -611.946269234  
  -1.979   -611.946049640  
  -1.949   -611.945822402  
  -1.919   -611.945587444  
  -1.889   -611.945344682  
  -1.859   -611.945094017  
  -1.830   -611.944835332  
  -1.800   -611.944568492  
  -1.770   -611.944293333  
  -1.740   -611.944009661  
  -1.710   -611.943717242  
  -1.680   -611.943415797  
  -1.650   -611.943104995  
  -1.620   -611.942784441  
  -1.590   -611.942453671  
  -1.560   -611.942112144  
  -1.530   -611.941759234  
  -1.500   -611.941394224  
  -1.470   -611.941016305  
  -1.440   -611.940624571  
  -1.410   -611.940218023  
  -1.380   -611.939795572  
  -1.350   -611.939356046  
  -1.320   -611.938898200  
  -1.290   -611.938420721  
  -1.260   -611.937922247  
  -1.230   -611.937401371  
  -1.200   -611.936856658  
  -1.170   -611.936286658  
  -1.140   -611.935689914  
  -1.110   -611.935064980  
  -1.080   -611.934410425  
  -1.050   -611.933724849  
  -1.020   -611.933006879  
  -0.990   -611.932255167  
  -0.960   -611.931468373  
  -0.930   -611.930645136  
  -0.900   -611.929784028  
  -0.870   -611.928883516  
  -0.840   -611.927941956  
  -0.810   -611.926957666  
  -0.780   -611.925929132  
  -0.750   -611.924855349  
  -0.720   -611.923736255  
  -0.690   -611.922573164  
  -0.660   -611.921369072  
  -0.630   -611.920128798  
  -0.600   -611.918858928  
  -0.570   -611.917567594  
  -0.540   -611.916264161  
  -0.510   -611.914958868  
  -0.480   -611.913662491  
  -0.450   -611.912386018  
  -0.420   -611.911140370  
  -0.390   -611.909936146  
  -0.360   -611.908783420  
  -0.330   -611.907691585  
  -0.300   -611.906669257  
  -0.270   -611.905724205  
  -0.240   -611.904863304  
  -0.210   -611.904092493  
  -0.180   -611.903416745  
  -0.150   -611.902840064  
  -0.120   -611.902365506  
  -0.090   -611.901995226  
  -0.060   -611.901730526  
  -0.030   -611.901571902  
  -0.000   -611.901519078  
   0.030   -611.901571192  
   0.060   -611.901726556  
   0.090   -611.901983000  
   0.120   -611.902337774  
   0.150   -611.902787621  
   0.180   -611.903328808  
   0.210   -611.903957159  
   0.240   -611.904668090  
   0.270   -611.905456644  
   0.300   -611.906317562  
   0.330   -611.907245354  
   0.360   -611.908234379  
   0.390   -611.909278894  
   0.420   -611.910373085  
   0.450   -611.911511068  
   0.480   -611.912686901  
   0.510   -611.913894606  
   0.540   -611.915128232  
   0.570   -611.916381919  
   0.600   -611.917649990  
   0.630   -611.918927020  
   0.660   -611.920207896  
   0.690   -611.921487850  
   0.720   -611.922762480  
   0.750   -611.924027762  
   0.780   -611.925280081  
   0.810   -611.926516244  
   0.840   -611.927733498  
   0.870   -611.928929522  
   0.900   -611.930102395  
   0.930   -611.931250561  
   0.960   -611.932372771  
   0.990   -611.933468045  
   1.020   -611.934535621  
   1.050   -611.935574918  
   1.080   -611.936585502  
   1.110   -611.937567055  
   1.140   -611.938519348  
   1.170   -611.939442234  
   1.200   -611.940335636  
   1.230   -611.941199550  
   1.260   -611.942034043  
   1.290   -611.942839255  
   1.320   -611.943615400  
   1.350   -611.944362763  
   1.380   -611.945081705  
   1.410   -611.945772658  
   1.440   -611.946436123  
   1.470   -611.947072668  
   1.500   -611.947682924  
   1.530   -611.948267578  
   1.560   -611.948827372  
   1.590   -611.949363102  
   1.620   -611.949875611  
   1.650   -611.950365786  
   1.680   -611.950834555  
   1.710   -611.951282875  
   1.740   -611.951711729  
   1.770   -611.952122113  
   1.800   -611.952515032  
   1.830   -611.952891483  
   1.860   -611.953252453  
   1.890   -611.953598905  
   1.920   -611.953931769  
   1.950   -611.954251934  
   1.980   -611.954560242  
   2.010   -611.954857476  
   2.040   -611.955144365  
   2.070   -611.955421574  
   2.100   -611.955689709  
   2.129   -611.955949313  
   2.159   -611.956200875  
   2.189   -611.956444826  
   2.219   -611.956681552  
   2.249   -611.956911390  
   2.279   -611.957134637  
   2.309   -611.957351554  
   2.339   -611.957562372  
   2.369   -611.957767291  
   2.399   -611.957966491  
   2.429   -611.958160129  
   2.459   -611.958348344  
   2.489   -611.958531260  
   2.519   -611.958708990  
   2.549   -611.958881633  
   2.579   -611.959049281  
   2.609   -611.959212016  
   2.639   -611.959369914  
   2.669   -611.959523043  
   2.699   -611.959671467  
   2.729   -611.959815246  
   2.759   -611.959954432  
   2.789   -611.960089077  
   2.819   -611.960219227  
   2.849   -611.960344925  
   2.879   -611.960466212  
   2.909   -611.960583125  
   2.939   -611.960695698  
   2.969   -611.960803963  
   2.999   -611.960907950  
   3.029   -611.961007685  
   3.059   -611.961103194  
   3.089   -611.961194498  
   3.119   -611.961281619  
   3.149   -611.961364575  
   3.179   -611.961443382  
   3.209   -611.961518056  
