   s  energy(a.u.)
 -15.686   -629.882251988  
 -15.684   -629.882251982  
 -15.656   -629.882251731  
 -15.626   -629.882250980  
 -15.596   -629.882249732  
 -15.566   -629.882247985  
 -15.536   -629.882245739  
 -15.506   -629.882242992  
 -15.476   -629.882239746  
 -15.446   -629.882235998  
 -15.416   -629.882231747  
 -15.386   -629.882226995  
 -15.356   -629.882221738  
 -15.326   -629.882215978  
 -15.296   -629.882209713  
 -15.266   -629.882202942  
 -15.236   -629.882195665  
 -15.206   -629.882187881  
 -15.176   -629.882179589  
 -15.146   -629.882170789  
 -15.116   -629.882161480  
 -15.086   -629.882151660  
 -15.056   -629.882141330  
 -15.026   -629.882130489  
 -14.996   -629.882119135  
 -14.966   -629.882107269  
 -14.936   -629.882094889  
 -14.906   -629.882081995  
 -14.876   -629.882068585  
 -14.846   -629.882054660  
 -14.816   -629.882040219  
 -14.786   -629.882025280  
 -14.756   -629.882009804  
 -14.726   -629.881993809  
 -14.696   -629.881977294  
 -14.666   -629.881960260  
 -14.636   -629.881942704  
 -14.606   -629.881924626  
 -14.576   -629.881906026  
 -14.546   -629.881886903  
 -14.516   -629.881867255  
 -14.486   -629.881847081  
 -14.456   -629.881826379  
 -14.426   -629.881805149  
 -14.396   -629.881783386  
 -14.366   -629.881761087  
 -14.336   -629.881738247  
 -14.306   -629.881714859  
 -14.276   -629.881690911  
 -14.246   -629.881666389  
 -14.216   -629.881641248  
 -14.186   -629.881615506  
 -14.156   -629.881589075  
 -14.126   -629.881561922  
 -14.096   -629.881533984  
 -14.066   -629.881505149  
 -14.036   -629.881475277  
 -14.006   -629.881444195  
 -13.976   -629.881411692  
 -13.946   -629.881377525  
 -13.916   -629.881341389  
 -13.886   -629.881302968  
 -13.856   -629.881261961  
 -13.827   -629.881218028  
 -13.797   -629.881170846  
 -13.767   -629.881120109  
 -13.737   -629.881065533  
 -13.707   -629.881006858  
 -13.677   -629.880943849  
 -13.647   -629.880876266  
 -13.617   -629.880803980  
 -13.587   -629.880726794  
 -13.557   -629.880644559  
 -13.527   -629.880557141  
 -13.497   -629.880464422  
 -13.467   -629.880366293  
 -13.437   -629.880262660  
 -13.407   -629.880153436  
 -13.377   -629.880038543  
 -13.347   -629.879917911  
 -13.317   -629.879791477  
 -13.287   -629.879659184  
 -13.257   -629.879520981  
 -13.227   -629.879376822  
 -13.197   -629.879226664  
 -13.167   -629.879070472  
 -13.137   -629.878908210  
 -13.107   -629.878739850  
 -13.077   -629.878565365  
 -13.047   -629.878384730  
 -13.017   -629.878197924  
 -12.987   -629.878004928  
 -12.957   -629.877805724  
 -12.927   -629.877600298  
 -12.897   -629.877388636  
 -12.867   -629.877170726  
 -12.837   -629.876946558  
 -12.807   -629.876716124  
 -12.777   -629.876479415  
 -12.747   -629.876236425  
 -12.717   -629.875987152  
 -12.687   -629.875731591  
 -12.657   -629.875469743  
 -12.627   -629.875201608  
 -12.597   -629.874927191  
 -12.567   -629.874646496  
 -12.537   -629.874359534  
 -12.507   -629.874066315  
 -12.477   -629.873766855  
 -12.447   -629.873461173  
 -12.417   -629.873149290  
 -12.387   -629.872831233  
 -12.357   -629.872507033  
 -12.327   -629.872176725  
 -12.297   -629.871840349  
 -12.267   -629.871497950  
 -12.237   -629.871149577  
 -12.207   -629.870795286  
 -12.177   -629.870435136  
 -12.147   -629.870069193  
 -12.117   -629.869697526  
 -12.087   -629.869320212  
 -12.057   -629.868937331  
 -12.027   -629.868548969  
 -11.997   -629.868155217  
 -11.967   -629.867756168  
 -11.937   -629.867351924  
 -11.907   -629.866942587  
 -11.877   -629.866528267  
 -11.847   -629.866109076  
 -11.817   -629.865685128  
 -11.787   -629.865256544  
 -11.757   -629.864823445  
 -11.727   -629.864385957  
 -11.697   -629.863944207  
 -11.667   -629.863498326  
 -11.637   -629.863048445  
 -11.607   -629.862594700  
 -11.577   -629.862137226  
 -11.547   -629.861676160  
 -11.517   -629.861211640  
 -11.487   -629.860743805  
 -11.457   -629.860272795  
 -11.427   -629.859798749  
 -11.397   -629.859321810  
 -11.367   -629.858842115  
 -11.337   -629.858359806  
 -11.307   -629.857875023  
 -11.277   -629.857387904  
 -11.247   -629.856898588  
 -11.217   -629.856407212  
 -11.187   -629.855913914  
 -11.157   -629.855418828  
 -11.127   -629.854922089  
 -11.097   -629.854423830  
 -11.067   -629.853924181  
 -11.037   -629.853423273  
 -11.007   -629.852921234  
 -10.977   -629.852418190  
 -10.947   -629.851914266  
 -10.917   -629.851409583  
 -10.887   -629.850904264  
 -10.857   -629.850398426  
 -10.827   -629.849892186  
 -10.797   -629.849385656  
 -10.767   -629.848878955  
 -10.737   -629.848372188  
 -10.707   -629.847865465  
 -10.677   -629.847358892  
 -10.647   -629.846852572  
 -10.617   -629.846346606  
 -10.587   -629.845841095  
 -10.557   -629.845336135  
 -10.527   -629.844831820  
 -10.497   -629.844328245  
 -10.467   -629.843825499  
 -10.437   -629.843323670  
 -10.407   -629.842822844  
 -10.377   -629.842323106  
 -10.347   -629.841824537  
 -10.317   -629.841327217  
 -10.287   -629.840831224  
 -10.257   -629.840336632  
 -10.227   -629.839843515  
 -10.197   -629.839351944  
 -10.167   -629.838861990  
 -10.137   -629.838373718  
 -10.107   -629.837887194  
 -10.077   -629.837402481  
 -10.047   -629.836919642  
 -10.017   -629.836438735  
  -9.987   -629.835959818  
  -9.957   -629.835482946  
  -9.927   -629.835008175  
  -9.897   -629.834535555  
  -9.867   -629.834065138  
  -9.837   -629.833596972  
  -9.807   -629.833131104  
  -9.777   -629.832667580  
  -9.747   -629.832206442  
  -9.717   -629.831747734  
  -9.687   -629.831291495  
  -9.657   -629.830837765  
  -9.627   -629.830386580  
  -9.597   -629.829937977  
  -9.567   -629.829491989  
  -9.537   -629.829048650  
