   s  energy(a.u.)
  -5.759  -3367.566931419  
  -5.729  -3367.566839022  
  -5.699  -3367.566745034  
  -5.669  -3367.566649416  
  -5.639  -3367.566552125  
  -5.609  -3367.566453111  
  -5.579  -3367.566352328  
  -5.549  -3367.566249718  
  -5.519  -3367.566145221  
  -5.489  -3367.566038768  
  -5.459  -3367.565930283  
  -5.429  -3367.565819673  
  -5.399  -3367.565706834  
  -5.369  -3367.565591643  
  -5.339  -3367.565473954  
  -5.309  -3367.565353594  
  -5.279  -3367.565230352  
  -5.249  -3367.565103982  
  -5.219  -3367.564974189  
  -5.189  -3367.564840625  
  -5.159  -3367.564702889  
  -5.129  -3367.564560519  
  -5.099  -3367.564412994  
  -5.069  -3367.564259746  
  -5.039  -3367.564100160  
  -5.009  -3367.563933594  
  -4.979  -3367.563759391  
  -4.949  -3367.563576898  
  -4.919  -3367.563385481  
  -4.889  -3367.563184538  
  -4.859  -3367.562973513  
  -4.829  -3367.562751902  
  -4.799  -3367.562519251  
  -4.769  -3367.562275173  
  -4.739  -3367.562019328  
  -4.709  -3367.561751433  
  -4.679  -3367.561471253  
  -4.649  -3367.561178599  
  -4.619  -3367.560873320  
  -4.589  -3367.560555302  
  -4.559  -3367.560224462  
  -4.529  -3367.559880746  
  -4.499  -3367.559524121  
  -4.469  -3367.559154579  
  -4.439  -3367.558772129  
  -4.409  -3367.558376796  
  -4.379  -3367.557968618  
  -4.349  -3367.557547653  
  -4.319  -3367.557113965  
  -4.289  -3367.556667632  
  -4.259  -3367.556208743  
  -4.229  -3367.555737399  
  -4.199  -3367.555253709  
  -4.169  -3367.554757790  
  -4.139  -3367.554249775  
  -4.109  -3367.553729801  
  -4.079  -3367.553198018  
  -4.049  -3367.552654584  
  -4.019  -3367.552099666  
  -3.989  -3367.551533443  
  -3.959  -3367.550956102  
  -3.929  -3367.550367835  
  -3.899  -3367.549768850  
  -3.869  -3367.549159362  
  -3.839  -3367.548539592  
  -3.809  -3367.547909773  
  -3.779  -3367.547270144  
  -3.749  -3367.546620953  
  -3.719  -3367.545962456  
  -3.689  -3367.545294919  
  -3.659  -3367.544618612  
  -3.629  -3367.543933813  
  -3.599  -3367.543240809  
  -3.569  -3367.542539889  
  -3.539  -3367.541831352  
  -3.509  -3367.541115504  
  -3.479  -3367.540392652  
  -3.449  -3367.539663110  
  -3.419  -3367.538927200  
  -3.389  -3367.538185244  
  -3.359  -3367.537437570  
  -3.329  -3367.536684510  
  -3.299  -3367.535926401  
  -3.269  -3367.535163580  
  -3.239  -3367.534396389  
  -3.209  -3367.533625173  
  -3.179  -3367.532850277  
  -3.149  -3367.532072048  
  -3.119  -3367.531290838  
  -3.089  -3367.530506994  
  -3.059  -3367.529720868  
  -3.029  -3367.528932814  
  -2.999  -3367.528143180  
  -2.969  -3367.527352323  
  -2.939  -3367.526560588  
  -2.909  -3367.525768328  
  -2.879  -3367.524975891  
  -2.849  -3367.524183627  
  -2.819  -3367.523391876  
  -2.789  -3367.522600987  
  -2.759  -3367.521811299  
  -2.729  -3367.521023149  
  -2.699  -3367.520236873  
  -2.669  -3367.519452804  
  -2.639  -3367.518671269  
  -2.609  -3367.517892592  
  -2.579  -3367.517117094  
  -2.549  -3367.516345090  
  -2.519  -3367.515576891  
  -2.489  -3367.514812806  
  -2.459  -3367.514053133  
  -2.429  -3367.513298166  
  -2.399  -3367.512548196  
  -2.369  -3367.511803509  
  -2.340  -3367.511064378  
  -2.310  -3367.510331078  
  -2.280  -3367.509603872  
  -2.250  -3367.508883018  
  -2.220  -3367.508168768  
  -2.190  -3367.507461364  
  -2.160  -3367.506761045  
  -2.130  -3367.506068038  
  -2.100  -3367.505382567  
  -2.070  -3367.504704846  
  -2.040  -3367.504035084  
  -2.010  -3367.503373475  
  -1.980  -3367.502720215  
  -1.950  -3367.502075484  
  -1.920  -3367.501439462  
  -1.890  -3367.500812312  
  -1.860  -3367.500194200  
  -1.830  -3367.499585275  
  -1.800  -3367.498985679  
  -1.770  -3367.498395553  
  -1.740  -3367.497815023  
  -1.710  -3367.497244212  
  -1.680  -3367.496683233  
  -1.650  -3367.496132191  
  -1.620  -3367.495591184  
  -1.590  -3367.495060307  
  -1.560  -3367.494539637  
  -1.530  -3367.494029258  
  -1.500  -3367.493529237  
  -1.470  -3367.493039637  
  -1.440  -3367.492560513  
  -1.410  -3367.492091916  
  -1.380  -3367.491633887  
  -1.350  -3367.491186465  
  -1.320  -3367.490749679  
  -1.290  -3367.490323556  
  -1.260  -3367.489908111  
  -1.230  -3367.489503358  
  -1.200  -3367.489109309  
  -1.170  -3367.488725958  
  -1.140  -3367.488353308  
  -1.110  -3367.487991351  
  -1.080  -3367.487640070  
  -1.050  -3367.487299452  
  -1.020  -3367.486969473  
  -0.990  -3367.486650106  
  -0.960  -3367.486341318  
  -0.930  -3367.486043079  
  -0.900  -3367.485755350  
  -0.870  -3367.485478086  
  -0.840  -3367.485211243  
  -0.810  -3367.484954771  
  -0.780  -3367.484708619  
  -0.750  -3367.484472731  
  -0.720  -3367.484247046  
  -0.690  -3367.484031507  
  -0.660  -3367.483826047  
  -0.630  -3367.483630600  
  -0.600  -3367.483445099  
  -0.570  -3367.483269469  
  -0.540  -3367.483103642  
  -0.510  -3367.482947536  
  -0.480  -3367.482801078  
  -0.450  -3367.482664187  
  -0.420  -3367.482536780  
  -0.390  -3367.482418777  
  -0.360  -3367.482310090  
  -0.330  -3367.482210634  
  -0.300  -3367.482120324  
  -0.270  -3367.482039066  
  -0.240  -3367.481966771  
  -0.210  -3367.481903348  
  -0.180  -3367.481848703  
  -0.150  -3367.481802739  
  -0.120  -3367.481765362  
  -0.090  -3367.481736475  
  -0.060  -3367.481715978  
  -0.030  -3367.481703769  
  -0.000  -3367.481699740  
   0.030  -3367.481703810  
   0.060  -3367.481715854  
   0.090  -3367.481735774  
   0.120  -3367.481763467  
   0.150  -3367.481798826  
   0.180  -3367.481841742  
   0.210  -3367.481892105  
   0.240  -3367.481949803  
   0.270  -3367.482014722  
   0.300  -3367.482086750  
   0.330  -3367.482165769  
   0.360  -3367.482251660  
   0.390  -3367.482344303  
   0.420  -3367.482443580  
   0.450  -3367.482549364  
   0.480  -3367.482661530  
   0.510  -3367.482779952  
   0.540  -3367.482904499  
   0.570  -3367.483035041  
   0.600  -3367.483171440  
   0.630  -3367.483313564  
   0.660  -3367.483461271  
   0.690  -3367.483614418  
   0.720  -3367.483772865  
   0.750  -3367.483936459  
   0.780  -3367.484105055  
   0.810  -3367.484278498  
   0.840  -3367.484456633  
   0.870  -3367.484639297  
   0.900  -3367.484826333  
   0.930  -3367.485017572  
   0.960  -3367.485212847  
   0.990  -3367.485411987  
   1.020  -3367.485614815  
   1.050  -3367.485821155  
   1.080  -3367.486030823  
   1.110  -3367.486243635  
   1.140  -3367.486459404  
   1.170  -3367.486677940  
   1.200  -3367.486899047  
   1.230  -3367.487122530  
   1.260  -3367.487348190  
   1.290  -3367.487575828  
   1.320  -3367.487805238  
   1.350  -3367.488036214  
   1.380  -3367.488268551  
   1.410  -3367.488502042  
   1.440  -3367.488736475  
   1.470  -3367.488971644  
   1.500  -3367.489207337  
   1.530  -3367.489443348  
   1.560  -3367.489679467  
   1.590  -3367.489915490  
   1.620  -3367.490151212  
   1.650  -3367.490386433  
   1.680  -3367.490620951  
   1.710  -3367.490854579  
   1.740  -3367.491087126  
   1.770  -3367.491318410  
   1.800  -3367.491548256  
   1.830  -3367.491776490  
   1.860  -3367.492002959  
   1.890  -3367.492227508  
   1.920  -3367.492449993  
   1.950  -3367.492670288  
   1.980  -3367.492888271  
   2.010  -3367.493103831  
   2.040  -3367.493316877  
   2.070  -3367.493527324  
   2.100  -3367.493735099  
   2.130  -3367.493940149  
   2.160  -3367.494142432  
   2.190  -3367.494341915  
   2.220  -3367.494538583  
