   s  energy(a.u.)
   2.250  -3367.494732431  
   2.280  -3367.494923466  
   2.309  -3367.495111708  
   2.339  -3367.495297182  
   2.369  -3367.495479928  
   2.399  -3367.495659991  
   2.429  -3367.495837425  
   2.459  -3367.496012284  
   2.489  -3367.496184631  
   2.519  -3367.496354532  
   2.549  -3367.496522053  
   2.579  -3367.496687260  
   2.609  -3367.496850221  
   2.639  -3367.497011003  
   2.669  -3367.497169670  
   2.699  -3367.497326285  
   2.729  -3367.497480908  
   2.759  -3367.497633597  
   2.789  -3367.497784407  
   2.819  -3367.497933389  
   2.849  -3367.498080593  
   2.879  -3367.498226064  
   2.909  -3367.498369845  
   2.939  -3367.498511979  
   2.969  -3367.498652500  
   2.999  -3367.498791449  
   3.029  -3367.498928855  
   3.059  -3367.499064753  
   3.089  -3367.499199172  
   3.119  -3367.499332140  
   3.149  -3367.499463684  
   3.179  -3367.499593830  
   3.209  -3367.499722605  
   3.239  -3367.499850028  
   3.269  -3367.499976123  
   3.299  -3367.500100915  
   3.329  -3367.500224421  
   3.359  -3367.500346663  
   3.389  -3367.500467659  
   3.419  -3367.500587431  
   3.449  -3367.500705993  
   3.479  -3367.500823367  
   3.509  -3367.500939568  
   3.539  -3367.501054611  
   3.569  -3367.501168516  
   3.599  -3367.501281298  
   3.629  -3367.501392973  
   3.659  -3367.501503556  
   3.689  -3367.501613061  
   3.719  -3367.501721506  
   3.749  -3367.501828901  
   3.779  -3367.501935263  
   3.809  -3367.502040607  
   3.839  -3367.502144943  
   3.869  -3367.502248288  
   3.899  -3367.502350651  
   3.929  -3367.502452050  
   3.959  -3367.502552493  
   3.989  -3367.502651996  
   4.019  -3367.502750570  
   4.049  -3367.502848225  
   4.079  -3367.502944976  
   4.109  -3367.503040831  
   4.139  -3367.503135805  
   4.169  -3367.503229906  
   4.199  -3367.503323148  
   4.229  -3367.503415539  
   4.259  -3367.503507092  
   4.289  -3367.503597816  
   4.319  -3367.503687720  
   4.349  -3367.503776819  
   4.379  -3367.503865117  
   4.409  -3367.503952627  
   4.439  -3367.504039357  
   4.469  -3367.504125321  
   4.499  -3367.504210523  
   4.529  -3367.504294973  
   4.559  -3367.504378682  
   4.589  -3367.504461659  
   4.619  -3367.504543913  
   4.649  -3367.504625448  
   4.679  -3367.504706281  
   4.709  -3367.504786412  
   4.739  -3367.504865855  
   4.769  -3367.504944617  
   4.799  -3367.505022704  
   4.829  -3367.505100127  
   4.859  -3367.505176892  
   4.889  -3367.505253009  
   4.919  -3367.505328485  
   4.949  -3367.505403325  
   4.979  -3367.505477541  
   5.009  -3367.505551137  
   5.039  -3367.505624124  
   5.069  -3367.505696506  
   5.099  -3367.505768294  
   5.129  -3367.505839493  
   5.159  -3367.505910108  
   5.189  -3367.505980150  
   5.219  -3367.506049625  
   5.249  -3367.506118541  
   5.279  -3367.506186901  
   5.309  -3367.506254718  
   5.339  -3367.506321995  
   5.369  -3367.506388738  
   5.399  -3367.506454957  
   5.429  -3367.506520657  
   5.459  -3367.506585843  
   5.489  -3367.506650524  
   5.519  -3367.506714704  
   5.549  -3367.506778393  
   5.579  -3367.506841594  
   5.609  -3367.506904313  
   5.639  -3367.506966559  
   5.669  -3367.507028334  
   5.699  -3367.507089648  
   5.729  -3367.507150505  
   5.759  -3367.507210910  
   5.789  -3367.507270872  
   5.819  -3367.507330390  
   5.849  -3367.507389475  
   5.879  -3367.507448131  
